"","cand_A","cand_B"
"59009",1,10
"59010",0,10
"59011",8,4
"59012",10,0
"59013",9,3
"59014",9,1
"59015",5,5
"59016",9,3
"59017",3,7
"59018",0,5
"59019",0,10
"59020",2,7
"59021",3,0
"59022",0,8
"59023",8,2
"59024",1,8
"59025",2,7
"59026",10,0
"59027",9,0
"59028",9,2
"59029",5,5
"59031",5,5
"59032",3,9
"59033",5,5
"59034",10,4
"59035",5,2
"59036",9,0
"59037",5,5
"59038",7,5
"59039",10,3
"59040",8,5
"59041",10,3
"59042",10,0
"59043",2,3
"59044",0,10
"59045",5,9
"59046",10,5
"59047",3,10
"59048",9,0
"59049",0,6
"59050",0,10
"59051",7,5
"59052",0,4
"59053",0,8
"59054",3,6
"59056",0,10
"59057",2,2
"59058",2,6
"59059",8,10
"59060",9,3
"59061",5,8
"59062",4,8
"59063",0,10
"59064",8,2
"59065",5,9
"59066",5,5
"59067",7,4
"59069",0,7
"59070",1,4
"59071",5,5
"59072",5,7
"59073",5,0
"59074",6,5
"59075",0,7
"59076",0,10
"59077",10,3
"59078",9,0
"59079",0,10
"59080",8,5
"59081",10,1
"59082",1,9
"59083",6,5
"59084",3,6
"59086",0,10
"59087",2,8
"59088",10,0
"59089",3,3
"59090",6,6
"59091",7,6
"59092",0,10
"59093",1,9
"59094",8,3
"59095",6,4
"59096",7,7
"59097",2,9
"59098",7,3
"59099",7,0
"59100",2,6
"59101",10,0
"59102",4,4
"59103",8,2
"59104",7,4
"59105",7,5
"59106",3,8
"59107",8,1
"59108",9,5
"59109",6,5
"59110",4,9
"59111",8,2
"59112",10,2
"59113",6,5
"59114",7,3
"59115",3,6
"59116",5,5
"59117",7,1
"59118",8,5
"59119",10,0
"59120",0,0
"59121",5,7
"59122",8,3
"59123",2,8
"59124",3,1
"59125",3,4
"59126",5,7
"59127",3,8
"59128",8,3
"59129",5,5
"59130",6,0
"59131",0,10
"59132",0,6
"59133",0,8
"59134",7,7
"59135",1,9
"59136",5,8
"59138",0,6
"59139",0,5
"59140",2,8
"59141",8,2
"59142",8,2
"59143",5,6
"59144",8,0
"59145",5,8
"59146",8,1
"59147",1,7
"59148",2,10
"59149",0,2
"59150",5,5
"59151",4,4
"59152",5,5
"59153",1,0
"59154",0,5
"59155",5,7
"59156",1,5
"59157",3,1
"59158",5,5
"59159",5,5
"59160",3,6
"59161",9,4
"59162",0,0
"59163",3,7
"59164",8,2
"59166",5,5
"59167",0,10
"59168",4,7
"59169",7,2
"59170",10,2
"59171",4,8
"59172",8,3
"59173",0,9
"59174",5,5
"59175",6,7
"59176",2,8
"59177",2,8
"59178",1,9
"59179",2,9
"59181",8,0
"59182",3,7
"59183",9,3
"59184",8,3
"59185",3,8
"59186",8,0
"59187",0,5
"59188",1,10
"59189",0,8
"59190",6,0
"59191",3,8
"59192",5,5
"59193",8,4
"59194",10,0
"59196",2,9
"59197",5,7
"59198",7,0
"59199",7,3
"59200",8,4
"59201",6,4
"59202",8,3
"59203",5,5
"59204",1,7
"59205",0,0
"59206",5,5
"59207",9,2
"59208",5,7
"59209",5,4
"59210",4,4
"59211",4,6
"59212",0,9
"59213",0,8
"59214",9,1
"59215",10,4
"59216",2,9
"59217",5,3
"59218",6,7
"59219",2,6
"59220",0,6
"59221",4,5
"59222",1,9
"59223",1,4
"59224",2,8
"59225",2,8
"59226",10,1
"59227",5,6
"59228",6,0
"59229",3,10
"59230",2,7
"59231",5,4
"59232",2,7
"59233",1,10
"59234",8,5
"59235",0,10
"59236",9,1
"59237",4,7
"59238",7,0
"59239",7,5
"59240",6,5
"59241",2,8
"59242",10,0
"59243",4,4
"59244",2,5
"59245",9,2
"59246",4,4
"59247",7,5
"59248",0,9
"59249",6,6
"59250",5,4
"59251",7,1
"59252",5,4
"59253",9,2
"59254",1,8
"59255",8,0
"59256",7,5
"59257",3,8
"59258",7,5
"59259",2,8
"59260",5,5
"59261",0,10
"59262",5,4
"59263",8,3
"59264",0,0
"59265",3,8
"59266",1,9
"59267",8,2
"59268",1,8
"59269",3,5
"59270",10,0
"59271",3,6
"59272",9,1
"59273",1,7
"59274",5,2
"59275",5,9
"59276",5,5
"59277",8,0
"59278",10,0
"59279",7,1
"59280",2,10
"59281",7,2
"59283",0,2
"59284",4,7
"59285",0,10
"59286",2,6
"59287",10,1
"59288",9,0
"59289",8,0
"59290",7,3
"59291",8,4
"59292",0,10
"59293",9,8
"59294",2,8
"59295",9,3
"59296",0,6
"59297",0,10
"59298",0,0
"59299",1,8
"59300",6,2
"59301",7,7
"59302",5,5
"59304",10,0
"59305",0,10
"59306",5,6
"59307",5,7
"59308",9,3
"59309",4,8
"59310",7,4
"59311",1,9
"59312",2,2
"59313",6,3
"59314",5,8
"59315",3,7
"59316",8,1
"59317",5,6
"59318",9,4
"59319",6,4
"59320",0,10
"59321",3,9
"59322",2,8
"59323",2,8
"59324",7,7
"59325",6,1
"59326",7,2
"59327",0,10
"59328",9,3
"59329",4,7
"59330",5,5
"59331",7,0
"59332",2,9
"59333",6,6
"59334",0,10
"59335",2,9
"59336",6,4
"59337",2,9
"59338",0,10
"59339",4,4
"59340",8,1
"59341",5,3
"59342",2,8
"59343",7,5
"59344",0,10
"59345",5,9
"59346",6,0
"59347",8,2
"59349",6,7
"59350",10,0
"59351",10,1
"59352",8,5
"59353",10,0
"59354",1,3
"59355",2,1
"59356",10,0
"59357",5,5
"59358",5,4
"59359",3,6
"59360",10,1
"59361",7,4
"59362",5,5
"59363",2,8
"59364",9,2
"59365",4,5
"59366",5,3
"59367",0,7
"59368",5,2
"59369",1,8
"59370",7,5
"59371",3,8
"59372",3,8
"59373",6,4
"59374",5,5
"59375",0,0
"59376",2,7
"59377",9,0
"59378",8,5
"59379",5,5
"59380",1,9
"59381",4,7
"59382",7,6
"59383",5,5
"59384",8,5
"59385",10,4
"59386",7,4
"59387",1,9
"59388",7,2
"59389",0,10
"59390",10,4
"59391",10,0
"59392",6,6
"59393",0,0
"59394",10,0
"59395",8,3
"59396",8,1
"59397",5,5
"59398",9,7
"59399",1,7
"59400",0,0
"59401",5,5
"59402",7,4
"59403",2,2
"59404",1,10
"59405",0,0
"59406",0,6
"59407",9,0
"59408",4,5
"59409",2,5
"59410",3,10
"59411",5,7
"59412",3,9
"59413",4,4
"59414",3,6
"59415",3,7
"59416",8,3
"59417",0,5
"59418",10,0
"59419",10,3
"59420",5,5
"59421",1,8
"59422",2,8
"59423",7,2
"59424",0,10
"59425",9,2
"59426",6,8
"59427",6,4
"59428",3,7
"59429",7,2
"59430",0,0
"59431",9,0
"59432",3,0
"59433",10,0
"59434",8,0
"59435",5,8
"59436",0,8
"59437",2,9
"59438",0,10
"59439",5,5
"59440",3,8
"59441",7,6
"59442",7,5
"59443",3,9
"59444",10,0
"59445",3,3
"59446",10,3
"59447",5,5
"59448",5,0
"59449",1,7
"59450",4,8
"59451",3,7
"59452",3,1
"59453",7,3
"59454",5,5
"59456",9,1
"59457",3,8
"59458",8,4
"59459",4,4
"59460",2,3
"59461",9,1
"59462",0,8
"59463",4,0
"59464",3,7
