"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"10929",1,1,2,4,3,4,4,1,4
"10930",0,0,0,6,3,4,6,0,4
"10932",3,1,4,7,7,6,5,4,5
"10933",1,1,1,1,1,1,1,1,1
"10934",10,10,0,0,0,0,0,0,0
"10935",0,0,2,5,5,4,7,0,6
"10936",0,0,2,5,4,6,6,0,4
"10938",7,6,5,2,2,2,1,6,1
"10939",0,0,4,7,4,7,8,0,3
"10940",0,0,0,0,0,5,0,0,3
"10941",0,0,2,5,5,5,3,0,3
"10942",6,3,4,2,5,5,2,5,4
"10944",0,0,0,0,0,0,0,0,0
"10945",10,2,4,5,6,5,4,4,4
"10947",10,9,1,0,0,0,0,9,0
"10949",0,0,0,0,0,0,0,0,0
"10950",4,4,4,4,4,4,4,4,4
"10951",1,1,1,1,1,1,1,1,1
"10952",10,9,1,1,1,2,1,8,1
"10953",0,0,10,5,2,5,5,2,5
"10954",5,5,8,5,7,5,5,5,5
"10955",9,9,1,0,0,0,0,10,0
"10956",0,0,3,4,4,3,4,0,3
"10958",0,0,0,0,0,0,0,0,0
"10959",0,0,5,4,4,4,3,0,3
"10961",1,1,1,1,1,1,1,1,1
"10962",2,2,4,1,2,2,1,1,1
"10963",3,3,3,3,3,3,3,3,3
"10965",1,0,2,2,4,1,1,1,1
"10967",5,2,0,0,0,0,0,0,0
"10969",1,1,1,0,0,0,0,1,0
"10970",10,1,0,0,0,0,0,1,0
"10971",1,1,1,1,1,1,0,1,0
"10972",9,8,3,2,1,2,1,9,1
"10973",10,9,2,1,1,0,0,9,0
"10974",0,0,0,10,0,0,0,0,0
"10975",10,7,2,2,1,2,2,2,1
"10976",0,1,0,0,0,0,0,0,0
"10977",0,0,0,0,0,0,0,0,0
"10992",6,5,4,5,5,2,0,4,0
"10993",0,0,0,1,1,1,0,0,0
"10994",5,5,3,4,5,3,0,4,0
"10995",0,0,0,0,0,0,0,0,0
"10996",0,0,0,0,0,0,0,0,0
"10997",0,0,0,0,0,0,0,0,0
"10998",5,4,5,4,5,4,4,6,4
"10999",4,4,3,4,4,4,3,3,3
"11000",4,4,0,0,0,0,0,1,0
"11001",5,6,5,4,5,4,4,4,4
"11002",4,5,6,5,6,5,5,5,5
"11003",0,0,0,0,0,0,0,0,0
"11004",3,2,3,4,3,2,3,4,3
"11005",6,6,2,0,0,0,1,5,1
"11007",7,6,5,4,6,5,6,8,6
"11008",6,7,5,6,6,5,5,4,6
"11009",5,7,6,4,5,5,4,4,5
"11010",7,6,6,7,7,5,7,5,7
"11011",5,6,3,2,4,3,5,4,5
"11012",2,3,5,4,6,4,4,4,4
"11013",6,5,4,6,5,6,5,5,6
"11014",3,5,6,5,7,4,5,5,6
"11015",3,5,6,6,7,5,6,4,7
"11016",5,4,4,6,7,5,5,6,6
"11017",6,5,5,7,6,7,3,4,4
"11018",0,3,6,4,5,5,4,3,5
"11019",4,6,6,4,6,5,6,5,5
"11020",5,7,7,5,5,4,6,8,6
"11021",0,0,0,2,0,0,2,0,2
"11023",8,6,0,0,0,0,0,5,0
"11024",0,0,0,4,0,0,0,0,0
"11025",6,6,2,3,2,2,0,6,2
"11026",0,0,0,0,0,0,0,0,0
"11028",2,2,3,5,4,5,5,2,5
"11029",4,4,3,3,4,3,1,3,1
"11030",1,1,1,1,1,1,1,1,1
"11031",5,3,5,4,4,4,6,5,6
"11033",4,4,10,5,5,5,4,4,4
