"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"21460",5,1,0,2,3,2,3,2
"21461",6,3,0,2,0,5,0,3
"21462",0,3,0,2,2,3,1,1
"21463",0,8,4,2,0,2,0,2
"21464",3,3,0,3,4,6,1,8
"21465",7,6,0,3,0,0,1,0
"21466",5,3,0,0,4,0,3,1
"21467",0,7,7,0,0,1,4,9
"21468",4,2,0,0,0,4,1,1
"21469",2,4,0,3,4,3,0,0
"21470",6,2,0,1,5,2,3,3
"21471",6,1,0,1,4,1,1,1
"21472",7,4,0,4,2,3,6,5
"21473",0,5,0,0,0,1,0,0
"21475",1,1,0,2,0,8,0,8
"21476",1,5,0,3,1,5,1,2
"21477",2,10,0,2,4,5,0,0
"21478",0,4,2,1,1,1,0,0
"21479",6,2,0,1,3,1,1,0
"21481",2,3,0,0,4,5,0,3
"21482",0,0,0,0,7,0,0,0
"21483",6,0,0,1,6,1,2,1
"21484",0,2,0,9,3,6,0,1
"21485",7,2,0,2,1,1,1,0
"21486",1,1,0,3,2,9,0,1
"21487",8,0,0,3,6,2,5,5
"21488",3,9,0,5,3,6,2,7
"21489",0,0,0,7,7,8,0,0
"21490",5,0,8,0,0,0,0,0
"21491",3,3,0,10,9,8,0,1
"21492",0,2,0,1,0,2,0,1
"21493",1,2,0,8,3,7,0,4
"21494",1,6,0,4,0,4,3,6
"21496",2,2,0,1,2,2,1,6
"21497",3,3,0,6,6,8,0,3
"21499",3,4,4,3,3,6,2,2
"21500",7,2,0,3,2,2,1,3
"21501",0,10,0,4,4,7,0,8
"21502",0,0,10,0,0,0,0,0
"21503",3,3,1,0,0,0,0,4
"21504",0,7,0,5,4,3,0,5
"21505",7,2,0,3,4,1,1,1
"21506",4,1,0,1,5,1,1,4
"21507",0,0,0,3,1,8,0,5
"21508",1,6,2,10,2,8,3,7
"21509",0,5,0,5,0,5,0,0
"21510",0,10,0,5,1,9,0,2
"21511",0,7,0,4,1,4,1,4
"21512",2,5,0,5,1,1,3,0
"21513",0,10,0,7,5,10,1,1
"21514",0,0,2,0,0,0,1,3
"21515",6,3,0,3,4,1,1,7
"21516",2,2,0,1,0,0,0,3
"21518",1,0,0,0,3,0,2,0
"21519",1,3,0,4,0,9,0,0
"21520",0,0,0,0,4,0,2,0
"21521",2,1,0,1,1,0,1,1
"21522",0,0,0,0,0,0,0,0
"21523",2,5,0,9,8,4,1,4
"21524",0,2,0,2,2,5,0,5
"21527",7,0,0,0,8,0,5,5
"21528",7,1,0,6,5,2,1,2
"21529",0,5,0,1,0,1,0,0
"21530",0,3,0,2,0,0,1,3
"21531",1,4,0,3,2,5,0,0
"21532",0,6,0,8,5,8,0,6
"21533",2,9,1,2,0,10,1,3
"21534",5,2,0,0,8,1,4,1
"21535",0,0,0,0,0,0,0,0
"21536",0,6,0,0,0,0,0,0
"21537",0,8,0,5,4,7,0,1
"21538",3,7,0,2,1,1,1,7
"21539",6,1,0,4,1,0,0,0
"21540",5,0,6,0,4,0,5,2
"21541",9,1,1,1,0,0,7,4
"21543",7,5,0,3,3,3,6,3
"21544",8,2,0,3,1,1,1,5
"21545",0,9,0,4,1,4,0,2
"21546",1,5,1,3,1,5,1,5
"21547",6,4,0,4,4,3,2,9
"21548",3,5,0,0,0,0,0,6
"21549",5,7,0,6,5,7,0,6
"21550",5,3,1,4,4,3,2,2
"21551",3,9,0,2,2,7,2,5
"21552",8,5,0,5,8,3,3,9
