"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"2860",3,8,0,4,5,6
"2861",3,8,1,4,4,6
"2862",4,9,1,5,5,6
"2863",4,9,1,4,4,5
"2864",3,6,1,5,8,5
"2865",4,8,2,4,2,5
"2866",5,8,2,4,3,4
"2867",5,8,2,4,3,3
"2868",3,7,1,5,4,5
"2869",4,9,2,5,3,6
"2870",4,5,0,5,7,5
"2871",3,9,1,4,3,6
"2872",3,9,0,5,4,7
"2873",4,5,2,5,4,5
"2874",5,8,0,5,8,10
"2875",3,7,1,5,5,7
"2876",5,9,0,5,3,7
"2877",3,7,1,3,4,4
"2878",4,6,2,4,8,5
"2879",3,6,1,5,4,9
"2880",6,4,0,9,2,3
"2881",3,5,1,4,7,5
"2882",3,6,2,4,7,5
"2884",5,6,3,6,3,6
"2885",5,5,0,9,0,8
"2886",2,5,1,5,7,7
"2887",5,7,3,6,2,7
"2888",3,5,2,5,6,8
"2889",5,8,3,4,3,4
"2890",5,1,1,4,6,8
"2891",4,8,1,4,5,6
"2892",4,8,2,6,5,6
"2893",5,8,1,6,5,5
"2894",4,7,3,4,4,3
"2895",6,5,3,8,3,4
"2896",4,7,2,4,5,5
"2897",4,8,2,1,6,2
"2898",4,7,1,3,3,5
"2900",6,5,3,6,3,4
"2901",8,4,2,6,2,5
"2902",4,8,2,5,5,6
"2905",7,5,4,6,3,4
"2906",6,5,3,5,4,4
"2907",5,6,4,4,3,1
"2908",3,4,7,3,2,2
"2909",4,8,1,5,5,6
"2911",7,4,3,5,1,3
"2913",6,5,4,2,2,2
"2914",7,6,4,6,3,4
"2915",3,9,3,2,4,7
"2916",4,7,2,4,3,6
"2917",7,4,3,5,1,2
"2918",4,7,1,5,4,6
"2919",7,4,5,6,3,3
"2920",3,8,0,5,5,6
"2921",3,4,5,2,2,2
"2922",4,10,0,0,5,3
"2923",7,5,2,6,4,4
"2924",8,4,5,5,2,2
"2925",7,5,4,3,2,2
"2926",3,7,1,3,4,3
"2927",6,3,5,6,5,5
"2928",8,5,3,0,0,3
"2929",8,3,6,3,1,1
"2930",6,4,1,9,2,4
"2931",7,5,2,6,3,3
"2932",7,3,5,4,2,2
"2933",3,6,2,3,4,4
"2934",4,9,2,3,2,3
"2935",7,3,3,5,2,3
"2936",5,0,10,3,10,0
"2937",7,3,7,4,2,2
