"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"28759",5,1,9,8,9,1,6,5
"28760",2,8,0,2,5,0,0,0
"28761",0,10,10,0,0,8,0,0
"28762",9,2,0,10,6,0,0,4
"28763",5,6,0,0,0,2,2,2
"28764",0,3,0,0,0,4,0,0
"28765",0,2,5,0,0,3,2,1
"28766",0,0,0,0,0,0,10,3
"28767",0,4,7,0,0,0,5,0
"28768",3,5,9,6,5,9,7,5
"28769",0,0,0,0,0,5,3,3
"28770",5,4,3,3,2,3,5,6
"28771",7,5,1,3,3,4,2,8
"28772",4,5,4,4,4,5,5,3
"28773",7,8,1,2,2,4,6,7
"28774",0,5,7,7,6,3,8,6
"28775",3,8,4,2,2,7,7,3
"28776",0,0,7,6,0,7,0,0
"28777",4,4,0,5,2,4,0,8
"28778",0,0,10,0,0,0,0,0
"28779",0,0,10,9,0,4,0,0
"28781",10,7,0,3,2,1,5,6
"28782",8,4,1,3,3,2,2,9
"28783",0,2,4,0,0,5,5,3
"28784",0,5,3,3,3,7,5,3
"28786",5,7,4,1,1,6,5,4
"28787",3,6,7,6,2,9,3,3
"28788",1,1,7,0,0,2,2,0
"28789",0,3,7,2,2,7,0,0
"28790",7,4,0,5,5,3,6,6
"28791",0,8,9,0,0,9,0,3
"28792",7,5,1,2,3,2,4,5
"28793",1,6,1,1,1,2,5,3
"28794",5,4,1,2,2,7,3,4
"28795",2,4,0,1,1,2,5,7
"28796",6,2,2,5,5,4,4,5
"28797",10,8,0,8,8,0,0,6
"28798",3,8,2,0,0,9,5,2
"28800",5,7,4,3,3,6,4,4
"28801",6,8,2,0,0,8,7,1
"28802",10,0,3,8,8,0,0,9
"28803",3,0,0,8,8,0,0,0
"28804",6,4,1,2,2,4,8,4
"28805",5,9,0,0,0,2,0,0
"28807",7,6,4,5,5,5,4,6
"28808",4,5,7,1,1,9,5,5
"28810",8,0,0,8,7,0,0,7
"28811",8,6,0,7,6,6,0,8
"28812",7,6,0,1,1,2,2,8
"28813",5,6,1,1,1,3,3,7
"28814",10,2,0,9,9,3,0,7
"28815",7,4,0,6,5,7,0,8
"28816",0,0,7,0,0,8,4,0
"28817",3,3,0,3,3,3,3,6
"28818",6,3,0,4,4,2,2,8
"28819",7,0,0,0,5,0,3,10
"28820",6,2,0,2,4,6,7,7
"28821",0,0,0,0,0,0,0,0
"28822",7,0,0,0,0,0,7,6
"28823",5,0,0,0,0,0,0,0
"28824",6,4,0,0,1,8,4,5
"28825",5,7,1,3,2,3,2,6
"28826",7,5,2,5,5,2,1,5
"28827",3,7,4,0,0,6,6,6
"28828",8,6,1,2,3,4,6,7
"28829",8,3,0,9,8,2,1,8
"28830",0,5,0,0,2,6,5,6
"28831",0,0,0,2,2,0,0,0
"28832",0,0,2,0,0,0,1,1
"28833",4,6,2,2,2,4,5,5
"28834",10,0,0,10,5,2,3,2
"28835",7,7,4,3,3,5,4,6
"28836",2,2,4,1,1,6,1,1
"28837",0,4,3,0,0,4,3,2
"28838",0,5,5,8,5,8,0,0
"28839",4,4,3,1,1,1,3,1
"28840",7,6,1,2,2,1,6,6
"28841",7,5,0,9,10,0,0,7
"28842",0,0,0,5,5,0,0,5
"28843",6,7,3,2,2,8,5,4
"28844",6,5,0,0,2,2,0,4
"28845",0,2,0,0,0,1,0,0
"28846",3,8,0,0,3,5,0,0
"28847",10,6,0,4,4,4,2,8
"28848",0,7,7,4,4,8,7,1
"28849",5,4,5,4,3,2,5,8
"28850",0,0,0,0,0,0,0,0
"28851",0,0,0,0,0,0,0,0
"28852",5,8,5,4,3,6,7,8
"28853",5,6,1,2,1,5,4,2
"28854",7,0,0,2,0,0,0,6
"28857",1,1,0,0,0,0,2,0
"28858",7,7,2,3,3,3,3,3
"28860",7,8,3,3,3,5,5,5
"28861",4,4,1,1,1,1,5,6
"28862",5,5,4,3,1,2,2,2
"28863",5,6,1,2,2,3,8,4
"28865",3,1,1,3,3,2,4,4
"28866",6,3,0,8,9,2,0,7
