"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"12706",0,0,0,0,0,0
"12711",4,2,4,3,3,2
"12715",8,10,5,5,5,5
"12716",0,0,5,5,3,0
"12717",5,7,7,6,4,3
"12718",2,0,8,2,2,0
"12719",6,2,4,5,2,7
"12722",10,4,0,5,0,3
"12723",9,4,7,1,3,6
"12724",0,8,0,0,0,0
"12726",8,8,8,8,8,9
"12727",0,0,0,0,0,0
"12729",0,0,0,5,0,5
"12730",10,1,10,5,1,1
"12731",10,0,5,9,0,9
"12733",0,5,8,9,6,8
"12734",5,1,3,2,1,2
"12737",10,6,6,8,6,8
"12738",3,0,2,4,3,4
"12740",8,10,5,5,5,5
"12741",10,0,0,10,0,10
"12742",5,5,4,4,4,3
"12743",1,8,3,1,1,1
"12745",5,0,1,6,1,2
"12746",5,0,10,5,0,7
"12747",0,10,0,0,8,7
"12748",2,8,3,5,5,5
"12750",0,0,5,5,3,0
"12751",0,9,9,10,0,0
"12752",8,4,8,8,3,5
"12753",0,0,0,10,0,0
"12754",6,4,2,6,4,4
"12755",5,5,3,6,3,2
"12756",5,0,3,0,0,0
"12760",0,0,0,0,0,0
"12761",8,5,5,0,0,0
"12762",2,2,5,2,5,5
"12766",2,2,2,2,0,0
"12767",10,10,10,0,0,0
"12768",4,4,4,3,2,2
"12770",6,2,4,2,1,2
"12771",10,4,6,8,2,5
"12772",6,3,3,4,3,4
"12774",5,7,3,5,2,2
"12775",0,0,0,0,0,0
"12776",5,1,5,2,1,2
"12777",6,4,0,0,0,0
"12778",9,7,5,6,5,8
"12779",2,0,3,0,1,0
"12780",7,4,10,4,2,0
"12781",8,0,8,7,5,2
"12782",8,3,7,2,0,0
"12788",9,7,5,4,3,2
"12789",6,8,6,5,5,5
"12791",3,3,6,3,2,2
"12792",10,0,0,0,0,0
"12794",4,3,8,5,4,2
"12795",6,1,7,7,5,5
"12798",1,5,1,1,2,3
"12799",0,10,10,10,0,10
"12801",0,8,3,3,3,2
"12802",0,10,10,10,0,0
"12803",0,7,3,0,7,0
"12805",4,3,4,4,2,4
"12806",5,7,5,5,5,6
"12808",3,3,5,7,5,5
"12810",5,5,5,5,5,5
"12811",7,3,6,4,3,3
"12814",10,0,0,5,0,0
"12815",5,3,6,5,3,4
"12817",10,0,0,0,0,0
"12818",0,10,4,10,5,7
"12820",5,10,3,3,0,0
"12821",9,1,8,7,2,1
"12823",5,5,3,3,3,3
"12825",1,0,2,1,0,0
"12827",10,8,5,0,4,0
"12828",0,5,0,0,7,3
"12829",0,4,1,6,3,0
"12830",2,5,5,0,0,3
"12831",7,5,5,4,2,2
"12832",10,1,1,10,0,0
"12833",2,0,4,3,1,2
"12834",4,0,7,5,3,2
"12838",3,0,5,1,0,7
"12839",3,7,2,2,2,0
"12841",0,3,4,0,0,0
"12842",5,5,2,3,3,3
"12843",3,0,0,1,0,0
"12845",3,0,3,2,1,0
"12846",1,10,1,1,1,1
"12848",0,0,0,0,0,0
"12849",0,3,0,0,0,0
"12850",8,6,5,9,5,7
"12851",1,10,10,1,1,1
"12853",8,9,7,6,5,4
"12854",0,8,0,0,0,0
"12855",8,0,5,8,6,7
"12857",0,0,0,0,0,0
"12858",4,4,7,3,4,3
"12859",0,10,0,3,9,4
"12860",5,2,2,10,2,2
"12862",1,3,8,2,5,3
