"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"17227",8,6,6,4,9,6,5,5,4
"17228",9,2,5,7,10,10,9,3,0
"17229",8,0,5,5,7,7,4,4,0
"17230",0,0,10,5,8,0,10,4,0
"17231",3,0,2,6,9,6,4,3,0
"17232",8,3,3,1,8,3,0,0,0
"17233",7,1,5,5,6,6,6,5,2
"17234",5,2,6,5,8,2,4,2,1
"17236",7,0,4,3,10,10,9,1,1
"17237",3,2,8,3,7,5,5,3,1
"17238",5,0,4,3,7,9,5,3,0
"17239",3,6,3,2,2,1,3,5,1
"17241",1,1,8,1,2,0,3,0,1
"17243",6,1,6,4,10,8,5,4,1
"17244",6,0,0,0,3,8,3,0,0
"17245",3,8,5,5,2,2,4,5,5
"17246",4,0,6,8,7,2,5,6,0
"17249",6,5,8,7,4,4,5,5,3
"17250",8,5,1,4,4,4,5,8,8
"17252",5,2,2,4,0,2,3,3,0
"17253",5,5,6,6,4,3,6,6,2
"17255",2,10,3,5,3,0,0,0,3
"17256",5,8,4,4,5,4,4,3,5
"17257",4,5,5,2,2,0,1,2,3
"17258",3,3,3,3,3,3,3,3,3
"17259",4,7,8,7,6,3,4,3,1
"17260",3,7,9,7,5,3,5,5,3
"17261",5,0,8,6,8,5,6,5,1
"17262",5,0,4,5,7,5,6,3,4
"17263",4,0,4,2,4,2,2,2,2
"17264",8,9,7,7,7,7,6,7,2
"17266",7,1,3,4,7,7,3,3,2
"17269",9,5,1,2,6,0,0,1,0
"17270",2,8,7,0,0,0,0,0,1
"17271",7,7,9,7,8,7,7,7,7
"17272",8,0,3,3,8,10,7,2,1
"17273",6,6,9,5,8,5,6,5,0
"17274",8,3,0,0,2,10,2,1,0
"17275",8,1,2,3,7,7,7,5,0
"17276",4,7,2,2,0,2,0,0,3
"17277",4,1,6,7,7,4,4,2,5
"17278",2,3,3,10,5,0,0,0,0
"17279",6,0,1,3,7,10,5,0,1
"17280",3,6,0,2,5,0,0,4,0
"17282",5,1,7,8,5,3,2,2,1
"17284",2,2,8,5,3,2,7,4,6
"17285",7,4,3,4,5,4,3,2,2
"17286",3,8,8,5,3,0,6,7,1
"17288",5,7,2,6,5,0,5,0,0
"17289",10,10,10,10,10,10,10,10,0
"17290",9,1,5,4,10,9,5,2,0
"17291",2,2,2,3,5,3,2,2,2
