"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"13665",5,8,0,5,5,6,5
"13666",2,3,7,3,2,4,1
"13667",10,8,0,7,1,7,9
"13669",7,9,0,6,5,7,2
"13670",5,5,0,5,7,5,5
"13671",6,8,0,3,2,6,5
"13672",6,8,0,6,9,9,2
"13673",3,5,0,0,8,6,0
"13674",3,1,0,8,8,5,0
"13675",5,8,0,5,8,8,7
"13676",6,9,1,7,3,1,6
"13677",9,6,0,6,3,8,5
"13678",2,8,0,5,10,9,2
"13679",7,5,6,8,0,2,6
"13680",9,8,0,8,5,7,7
"13682",7,6,5,5,7,6,3
"13683",9,6,0,7,1,4,8
"13684",7,7,0,8,0,4,6
"13685",2,8,7,2,7,5,1
"13686",8,9,0,4,7,8,7
"13687",2,2,0,1,2,2,2
"13688",8,8,0,10,0,8,6
"13689",8,5,1,8,8,5,3
"13690",9,10,8,8,5,6,5
"13691",2,6,0,0,10,5,0
"13692",4,8,0,6,5,8,3
"13693",8,8,3,10,9,6,8
"13694",9,8,5,6,8,6,8
"13695",9,7,2,8,5,7,7
"13696",4,6,0,5,5,9,3
"13697",10,7,0,10,2,8,9
"13698",10,9,0,9,7,9,9
"13699",3,2,2,2,3,3,2
"13700",9,6,6,7,5,5,9
"13701",8,9,2,7,6,9,8
"13702",7,7,0,7,6,7,5
"13703",6,6,0,0,5,8,2
"13704",1,2,8,0,8,0,2
"13705",10,5,0,9,0,3,8
"13706",7,7,0,7,0,3,5
"13707",5,5,6,7,6,7,0
"13708",4,9,0,0,2,4,6
"13709",8,6,0,6,2,4,5
"13710",8,1,9,3,1,3,8
"13711",7,9,0,7,7,8,5
"13712",8,7,1,8,3,5,9
"13713",8,10,5,7,2,5,5
"13714",5,5,0,0,8,5,0
"13715",5,5,8,8,0,0,5
"13716",4,8,0,4,6,9,3
"13717",8,7,0,7,4,5,7
"13719",9,10,0,7,1,6,4
"13720",9,7,1,8,7,8,8
"13721",7,5,0,1,7,7,5
"13722",8,5,4,6,4,7,5
"13723",9,7,0,1,5,7,3
"13724",10,5,0,8,0,7,8
"13725",7,8,0,7,1,7,8
"13726",7,8,8,5,4,3,5
"13727",7,9,0,8,10,9,3
"13728",5,6,2,5,6,8,5
"13729",6,6,9,7,8,5,5
"13730",8,7,2,5,5,8,6
"13731",2,3,2,2,1,0,2
"13732",6,10,0,5,7,7,5
"13733",7,7,0,8,3,7,5
"13734",9,8,0,9,3,9,7
"13735",10,5,0,5,3,6,9
"13736",7,6,8,7,6,1,9
"13737",10,8,2,0,5,1,5
"13738",3,9,0,5,3,10,0
"13739",6,8,0,7,8,8,6
"13740",5,9,0,2,8,9,2
"13741",8,8,8,10,0,3,10
"13742",4,4,0,4,5,4,4
"13743",9,3,5,7,0,0,10
"13744",8,8,0,7,3,6,5
"13745",2,7,7,7,4,5,4
"13746",0,0,6,1,4,0,1
"13747",7,8,9,5,10,7,10
"13748",3,8,2,3,3,3,3
"13749",9,9,4,7,5,6,8
"13750",7,8,0,8,2,0,5
"13751",5,5,2,0,5,5,5
"13752",10,8,0,6,1,6,9
"13753",10,5,0,0,0,1,2
"13754",7,7,0,4,9,8,1
"13755",8,3,5,5,5,5,5
"13756",6,10,0,3,0,1,4
"13757",10,5,0,7,0,6,5
"13758",8,6,6,6,0,5,10
"13759",7,8,0,8,4,9,1
"13760",8,7,0,7,2,7,5
"13761",6,6,4,8,5,6,7
"13762",8,5,0,6,3,5,6
