"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"45565",5,4,6,2,7,5,1
"45566",0,0,5,0,0,5,0
"45567",0,10,0,8,0,1,0
"45568",1,3,3,4,1,1,1
"45569",2,4,5,9,1,3,1
"45570",3,7,9,2,3,4,5
"45571",3,3,8,6,8,5,5
"45572",10,2,7,0,5,4,6
"45573",4,9,4,9,4,2,4
"45574",5,5,5,0,5,5,3
"45576",8,5,0,0,0,3,5
"45577",0,0,0,0,0,0,0
"45578",3,6,3,3,3,3,3
"45579",8,5,5,5,5,8,5
"45580",5,0,5,0,0,10,3
"45581",5,0,2,2,3,5,5
"45582",5,0,2,0,0,1,2
"45583",7,0,9,0,0,5,0
"45584",5,1,5,10,5,5,5
"45585",0,7,0,2,0,0,0
"45586",0,10,0,4,0,0,1
"45587",0,5,0,5,0,0,0
"45588",1,0,6,3,0,3,1
"45589",0,0,10,0,0,0,0
"45590",8,0,6,3,1,6,2
"45591",0,9,6,7,0,0,0
"45592",4,4,3,1,1,1,1
"45593",8,0,5,0,0,2,0
"45594",1,10,2,0,1,4,1
"45595",0,8,6,8,0,0,0
"45596",10,0,8,0,4,9,8
"45597",10,0,6,2,3,5,6
"45598",0,9,4,8,1,0,0
"45599",7,3,0,3,3,3,3
"45600",5,6,6,0,6,6,0
"45601",3,0,3,0,4,0,0
"45602",3,3,5,0,10,3,7
"45603",9,0,9,1,8,10,8
"45605",3,2,5,2,4,4,4
"45606",0,1,0,7,0,0,0
"45607",2,10,4,1,3,3,2
"45608",0,10,2,0,3,3,0
"45609",6,0,5,0,9,9,9
"45610",2,7,4,10,2,4,0
"45611",0,0,0,10,0,0,0
"45612",10,0,9,0,0,6,8
"45613",7,8,6,2,4,4,4
"45614",2,1,2,0,1,2,0
"45615",1,1,1,1,1,5,1
"45616",3,1,2,0,10,9,9
"45617",9,0,6,0,3,8,4
"45618",8,8,6,0,5,6,6
"45619",3,10,7,0,3,7,5
"45620",4,0,3,5,5,9,4
"45621",4,0,4,4,4,4,4
"45623",7,2,10,4,5,6,5
"45624",7,0,5,0,9,6,6
"45625",6,3,7,5,5,7,5
"45626",7,3,9,5,7,7,6
"45627",0,0,0,0,5,0,0
"45628",5,8,4,3,2,3,2
"45629",3,1,0,0,5,9,5
"45631",2,10,4,0,2,3,1
"45633",1,3,4,2,0,0,2
"45634",3,7,3,5,5,4,5
"45635",5,3,10,0,5,7,5
"45637",10,0,9,0,7,9,6
"45638",6,1,10,1,7,7,7
"45640",7,0,5,0,7,10,2
"45641",0,3,1,1,1,2,1
"45643",0,7,4,10,4,4,4
"45645",0,0,0,0,0,0,0
"45646",3,5,4,0,0,1,6
"45647",0,5,5,0,2,3,0
"45648",0,3,2,0,0,0,2
"45650",8,10,8,0,0,3,8
"45651",4,1,5,0,0,1,0
"45652",0,6,4,3,0,0,0
"45654",0,0,0,5,0,0,0
"45655",10,1,10,1,1,5,1
"45656",5,5,5,5,5,5,5
"45658",8,0,7,0,4,10,8
"45659",0,9,4,8,1,1,0
"45660",5,0,7,8,5,6,6
"45661",2,7,5,0,0,2,0
"45663",0,9,5,7,0,1,0
"45664",0,5,5,1,0,1,0
"45665",0,9,4,7,0,0,0
"45666",10,3,7,4,0,5,2
"45667",0,5,0,6,0,0,0
"45668",1,7,0,5,0,0,0
"45669",7,2,7,1,5,7,5
"45670",10,0,6,0,8,10,8
"45671",5,0,3,0,10,8,10
"45672",0,9,4,4,1,1,0
"45673",5,2,8,5,5,5,2
"45674",0,9,5,2,1,2,0
"45675",0,6,2,8,0,3,0
"45676",1,9,6,7,1,1,0
"45677",0,0,2,2,2,2,0
"45679",0,8,4,8,2,0,0
"45680",7,0,3,0,4,5,0
"45681",10,0,4,0,7,9,5
"45682",0,0,0,10,0,0,0
"45683",0,7,5,8,0,0,0
"45684",1,5,7,4,1,3,0
"45686",0,10,0,3,0,0,0
"45687",0,3,3,2,0,0,0
"45688",0,0,5,0,0,0,0
"45689",7,0,3,3,7,5,6
"45690",9,0,5,0,5,6,6
"45691",2,10,3,2,0,3,0
"45692",10,0,6,0,2,8,0
"45693",6,7,8,8,2,7,0
"45694",5,2,2,1,8,7,9
"45695",2,2,2,2,2,2,2
"45696",3,4,4,7,5,5,4
"45697",1,9,1,3,0,0,0
"45698",0,1,1,10,0,1,0
"45699",4,6,3,1,4,3,2
"45700",0,10,0,0,0,0,0
"45701",8,0,4,0,9,6,4
"45702",9,10,5,0,4,5,7
"45703",1,2,4,1,0,0,1
"45704",0,0,0,0,0,0,0
"45705",0,8,0,0,0,0,0
"45706",5,5,5,10,5,5,5
"45707",8,4,5,3,4,4,4
"45708",0,0,0,0,0,0,0
"45709",9,4,6,3,5,6,4
"45710",4,5,6,5,5,6,6
"45711",0,0,0,0,0,0,0
"45712",4,0,7,0,4,4,4
"45713",7,2,10,5,0,5,0
"45714",5,0,6,8,10,5,10
"45715",5,3,7,2,3,9,5
"45716",8,1,4,0,5,2,2
"45717",6,2,8,2,2,5,3
"45718",0,0,0,0,0,0,0
"45719",2,3,7,10,3,3,3
"45720",5,0,5,4,2,3,4
"45721",8,0,7,1,3,6,3
"45722",2,3,2,2,6,3,4
"45723",0,8,0,5,0,0,0
"45724",1,9,4,2,1,2,0
"45725",8,5,5,0,5,5,5
"45726",0,5,0,9,0,0,0
"45727",2,3,3,10,0,1,0
"45728",5,10,5,2,5,5,5
"45729",0,9,3,6,0,0,0
"45730",0,0,0,10,0,0,0
"45731",5,0,5,0,5,10,5
"45732",6,0,8,1,2,4,2
"45733",4,5,4,3,6,5,4
"45734",8,2,7,4,1,8,0
"45735",5,2,8,1,7,6,7
"45736",7,9,4,4,0,7,2
"45737",2,4,6,4,0,2,0
"45738",3,10,6,5,5,5,5
"45739",7,2,6,0,4,5,4
"45740",10,8,7,5,0,7,2
"45742",7,6,5,0,5,5,5
"45743",0,0,0,0,0,0,0
"45744",0,3,0,8,0,0,0
"45745",10,5,5,0,5,5,5
"45746",7,2,5,9,4,9,1
"45747",10,3,7,0,7,5,9
"45748",5,0,10,0,5,5,0
"45749",6,2,2,7,5,5,1
"45750",9,2,7,5,6,7,5
